,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R
Precentral_L,0,0.2561739261457871,0.6679100275601645,0.3247174745945119,0.7692208199267566,0.2351196429388931,0.4289820814328248,0.08153958940240125,0.25692218342704876,0.251840095201731,-0.3015303918352124,0.03130856137289841,0.581817266276745,0.35394504158541634,0.03089962129379732,0.4244323696771267,0.3284348871423198,0.40919379909163034,-0.7121526825258561,-0.70209219221382
Precentral_R,0.2561739261457871,0,0.11509261098979216,0.8120290370999494,0.0034346822990640852,0.8515135201136167,-0.013670727180710978,0.5478080082720107,0.08566701529988789,0.3367805417479125,-0.03370558220319537,0.013849899977749248,0.3383444553721214,0.17511544994176267,0.042746573148822915,-0.12326174660829949,0.05592490216329905,0.22613148142672,-0.2517759150797168,-0.2555762126491868
Frontal_Sup_2_L,0.6679100275601645,0.11509261098979216,0,0.5163993531114631,0.8619712433097497,0.38295768991156764,0.6536258729070593,0.2978026690879242,0.6535016573386141,0.5105596803477863,0.15427666980026286,0.3818767262825666,0.7192606276915258,0.5958654542417388,0.10994276542544117,0.26256399501068645,0.8231767042030246,0.8519564897499511,-0.19424899761173725,-0.15337875896929112
Frontal_Sup_2_R,0.3247174745945119,0.8120290370999494,0.5163993531114631,0,0.37545467105893426,0.946540409389561,0.3326971408139231,0.6813154637152425,0.41229748866563304,0.5786777418072507,0.1942799746286463,0.330379128225819,0.6282949999372668,0.5070886471962429,0.1726961221468627,0.04909643036144184,0.5527206416713295,0.6894337129418482,-0.14261199447558354,-0.1433486080303489
Frontal_Mid_2_L,0.7692208199267566,0.0034346822990640852,0.8619712433097497,0.37545467105893426,0,0.28054182560570745,0.6305616035998832,0.23135054083400944,0.5060667612404197,0.4588820099075655,0.006086658402483722,0.3609692775538433,0.7210498446148856,0.5709563709594705,0.08551034931448334,0.40993166257606445,0.706503243656614,0.7081782199389619,-0.3999143359635804,-0.4007163274280491
Frontal_Mid_2_R,0.2351196429388931,0.8515135201136167,0.38295768991156764,0.946540409389561,0.28054182560570745,0,0.14899737959418816,0.7625384125511764,0.28175500344033594,0.6757542846755431,0.1753957147030529,0.3920253184470859,0.5066308900135352,0.5146622858600568,-0.008110519142356644,-0.04605861215806028,0.39509560838103186,0.5909453606011318,-0.13675549888164054,-0.11504253503898558
Frontal_Inf_Oper_L,0.4289820814328248,-0.013670727180710978,0.6536258729070593,0.3326971408139231,0.6305616035998832,0.14899737959418816,0,0.19474251955057986,0.8119928900088753,0.16098090592173137,0.38907948505646256,0.2596614279750914,0.7535236183953476,0.433486032132599,0.43484624253435045,0.25219947062650666,0.7700091286546694,0.5595828571494101,0.0308333160781201,-0.03550196733870016
Frontal_Inf_Oper_R,0.08153958940240125,0.5478080082720107,0.2978026690879242,0.6813154637152425,0.23135054083400944,0.7625384125511764,0.19474251955057986,0,0.32370605756557774,0.8129284984832501,0.3051959626849635,0.662216149176903,0.5176954325020116,0.695302447892309,-0.15013631700517302,-0.10327685884556338,0.3465944605790947,0.5125783510479901,0.09989921744066722,0.1556263588914261
Frontal_Inf_Tri_L,0.25692218342704876,0.08566701529988789,0.6535016573386141,0.41229748866563304,0.5060667612404197,0.28175500344033594,0.8119928900088753,0.32370605756557774,0,0.3173774424566775,0.6001179678202729,0.3687066410202005,0.7203989147332818,0.5032330641033115,0.35208502911474043,0.059848164405596975,0.7815236309581237,0.6125677928976557,0.18668274728406692,0.1664681327712539
Frontal_Inf_Tri_R,0.251840095201731,0.3367805417479125,0.5105596803477863,0.5786777418072507,0.4588820099075655,0.6757542846755431,0.16098090592173137,0.8129284984832501,0.3173774424566775,0,0.2571066340654719,0.773701287614039,0.5219699735068386,0.7893345399031051,-0.27493387412942893,0.09896785061493012,0.4088263622143647,0.6766409537828365,-0.05256005914286492,0.05615883206973661
Frontal_Inf_Orb_2_L,-0.3015303918352124,-0.03370558220319537,0.15427666980026286,0.1942799746286463,0.006086658402483722,0.1753957147030529,0.38907948505646256,0.3051959626849635,0.6001179678202729,0.2571066340654719,0,0.6152533098031814,0.27255500205161887,0.30175871386748765,0.1502823569516471,-0.0922542476210939,0.4311955213565942,0.3203508909179653,0.5472463790786617,0.500120155445104
Frontal_Inf_Orb_2_R,0.03130856137289841,0.013849899977749248,0.3818767262825666,0.330379128225819,0.3609692775538433,0.3920253184470859,0.2596614279750914,0.662216149176903,0.3687066410202005,0.773701287614039,0.6152533098031814,0,0.4339341438269651,0.7141633579364519,-0.25778892886281146,0.026205376580380094,0.44006249409975423,0.5521794761992314,0.25623114641954264,0.3074089949892783
Rolandic_Oper_L,0.581817266276745,0.3383444553721214,0.7192606276915258,0.6282949999372668,0.7210498446148856,0.5066308900135352,0.7535236183953476,0.5176954325020116,0.7203989147332818,0.5219699735068386,0.27255500205161887,0.4339341438269651,0,0.6827938491894281,0.30698457404683704,0.2969895845510051,0.7023348534081046,0.6613056972774789,-0.18340176564873478,-0.1995150204728777
Rolandic_Oper_R,0.35394504158541634,0.17511544994176267,0.5958654542417388,0.5070886471962429,0.5709563709594705,0.5146622858600568,0.433486032132599,0.695302447892309,0.5032330641033115,0.7893345399031051,0.30175871386748765,0.7141633579364519,0.6827938491894281,0,-0.04306152643018229,0.24868831953614978,0.5596168625686351,0.6500994194367264,-0.11237325530280982,-0.05140076646824212
Olfactory_L,0.03089962129379732,0.042746573148822915,0.10994276542544117,0.1726961221468627,0.08551034931448334,-0.008110519142356644,0.43484624253435045,-0.15013631700517302,0.35208502911474043,-0.27493387412942893,0.1502823569516471,-0.25778892886281146,0.30698457404683704,-0.04306152643018229,0,0.4689534924027412,0.33174123066013433,0.12657795059467536,0.059532840163215105,-0.05794564387660961
Olfactory_R,0.4244323696771267,-0.12326174660829949,0.26256399501068645,0.04909643036144184,0.40993166257606445,-0.04605861215806028,0.25219947062650666,-0.10327685884556338,0.059848164405596975,0.09896785061493012,-0.0922542476210939,0.026205376580380094,0.2969895845510051,0.24868831953614978,0.4689534924027412,0,0.21239378412312204,0.26942096785072733,-0.4800315220148579,-0.5209816153221732
Frontal_Sup_Medial_L,0.3284348871423198,0.05592490216329905,0.8231767042030246,0.5527206416713295,0.706503243656614,0.39509560838103186,0.7700091286546694,0.3465944605790947,0.7815236309581237,0.4088263622143647,0.4311955213565942,0.44006249409975423,0.7023348534081046,0.5596168625686351,0.33174123066013433,0.21239378412312204,0,0.863530772849706,0.1275004470846514,0.09330362052863439
Frontal_Sup_Medial_R,0.40919379909163034,0.22613148142672,0.8519564897499511,0.6894337129418482,0.7081782199389619,0.5909453606011318,0.5595828571494101,0.5125783510479901,0.6125677928976557,0.6766409537828365,0.3203508909179653,0.5521794761992314,0.6613056972774789,0.6500994194367264,0.12657795059467536,0.26942096785072733,0.863530772849706,0,-0.02750890870637508,0.010391855282357799
Frontal_Med_Orb_L,-0.7121526825258561,-0.2517759150797168,-0.19424899761173725,-0.14261199447558354,-0.3999143359635804,-0.13675549888164054,0.0308333160781201,0.09989921744066722,0.18668274728406692,-0.05256005914286492,0.5472463790786617,0.25623114641954264,-0.18340176564873478,-0.11237325530280982,0.059532840163215105,-0.4800315220148579,0.1275004470846514,-0.02750890870637508,0,0.9527677964241257
Frontal_Med_Orb_R,-0.70209219221382,-0.2555762126491868,-0.15337875896929112,-0.1433486080303489,-0.4007163274280491,-0.11504253503898558,-0.03550196733870016,0.1556263588914261,0.1664681327712539,0.05615883206973661,0.500120155445104,0.3074089949892783,-0.1995150204728777,-0.05140076646824212,-0.05794564387660961,-0.5209816153221732,0.09330362052863439,0.010391855282357799,0.9527677964241257,0
