,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R
Precentral_L,0,0.655257217306733,0.067892339436614,0.13988016093612018,0.17999163901588955,0.3014965446621339,0.1014659424134817,0.3695383784144766,0.15655556610508095,0.25737210511388314,-0.3114195447165988,0.07902147474247098,0.20430872253955112,0.4840840237014388,0.5819721043919338,0.6358703033677762,0.11215728899045553,0.12569746057042475,0.03703833597382836,0.04331021546475869
Precentral_R,0.655257217306733,0,0.4398724423635099,0.4754341120751867,0.6159105583912963,0.5294117047380719,0.4233924872121101,0.22567172458903695,0.23702482048721052,0.3814780070348109,0.23086817847225727,0.3371519832213811,0.5385397797157351,0.3612146430737383,0.763051113059463,0.9196831640191182,0.6236779580530535,0.5184046829542025,0.19715164206827007,0.38416171355111667
Frontal_Sup_2_L,0.067892339436614,0.4398724423635099,0,0.895641074152858,0.8682554871946543,0.800829780104603,0.5353984574863807,0.3516015215849663,0.5513235390355492,0.7453333191637106,0.6785282682231294,0.8340373858918116,0.6140489902650325,0.40661827389217986,0.5813490152935876,0.4105347269544419,0.6391681636835163,0.5982309588188366,0.7643257836357141,0.774069983397822
Frontal_Sup_2_R,0.13988016093612018,0.4754341120751867,0.895641074152858,0,0.8340535263774578,0.7645669285284918,0.5409616698778883,0.4153032616786939,0.41780440671333774,0.6742836942468223,0.6848545943589333,0.8265612398026333,0.611619576304662,0.5082706644339833,0.5851192006764906,0.4525962118051357,0.6124571455562497,0.5671042470931189,0.7975413437639696,0.8189943562245661
Frontal_Mid_2_L,0.17999163901588955,0.6159105583912963,0.8682554871946543,0.8340535263774578,0,0.7780567692678236,0.67269971260108,0.3349904108587997,0.48577893960333,0.6479782604398442,0.7094908327823486,0.7186647774942673,0.7091281693941694,0.4192815366736147,0.6329167565215498,0.5195394608032599,0.6709196785778216,0.6198376271383806,0.6602071052522739,0.7535347733275551
Frontal_Mid_2_R,0.3014965446621339,0.5294117047380719,0.800829780104603,0.7645669285284918,0.7780567692678236,0,0.5501932999122977,0.4296796851581681,0.6755014139668707,0.7875105479188035,0.45184223754109354,0.7103253657647665,0.6041907288759372,0.551480619700559,0.6729347103137725,0.5101690831554054,0.6057693846286789,0.5296753971908791,0.6665591180867194,0.5736724952577663
Frontal_Inf_Oper_L,0.1014659424134817,0.4233924872121101,0.5353984574863807,0.5409616698778883,0.67269971260108,0.5501932999122977,0,0.5944840606180161,0.6097305124204008,0.5751053206329639,0.6162759096252045,0.5033531961673487,0.700329275410925,0.45337191585276115,0.3542262576356776,0.3701178129733824,0.36198602645099326,0.2440872413559569,0.500962549904625,0.45767406875847516
Frontal_Inf_Oper_R,0.3695383784144766,0.22567172458903695,0.3516015215849663,0.4153032616786939,0.3349904108587997,0.4296796851581681,0.5944840606180161,0,0.5603748911610736,0.6267927889998082,0.2519715381605532,0.44789334648444756,0.5030143704923815,0.7891522351750976,0.3055063812121997,0.2549711944613692,-0.08021967068832915,-0.10595004907515722,0.4042038354483471,0.31345590345822394
Frontal_Inf_Tri_L,0.15655556610508095,0.23702482048721052,0.5513235390355492,0.41780440671333774,0.48577893960333,0.6755014139668707,0.6097305124204008,0.5603748911610736,0,0.6971377505403779,0.36773379101537496,0.518565318532258,0.5193973719444857,0.4403361826768879,0.3001454113150987,0.2254304546733952,0.3276725245307331,0.12234356934723013,0.393968349929782,0.19268657996278696
Frontal_Inf_Tri_R,0.25737210511388314,0.3814780070348109,0.7453333191637106,0.6742836942468223,0.6479782604398442,0.7875105479188035,0.5751053206329639,0.6267927889998082,0.6971377505403779,0,0.4274159142871648,0.6386330755984181,0.4802246378357365,0.5838520798958747,0.5207813144047971,0.34626635367049496,0.33609415316466096,0.30250308458463004,0.6853522042774279,0.6250550138176161
Frontal_Inf_Orb_2_L,-0.3114195447165988,0.23086817847225727,0.6785282682231294,0.6848545943589333,0.7094908327823486,0.45184223754109354,0.6162759096252045,0.2519715381605532,0.36773379101537496,0.4274159142871648,0,0.6935797507449122,0.5812418824295239,0.2360325602480374,0.23106374070155092,0.15898407274292317,0.4527587577577238,0.37472676319014636,0.5850000743835962,0.6210473529070766
Frontal_Inf_Orb_2_R,0.07902147474247098,0.3371519832213811,0.8340373858918116,0.8265612398026333,0.7186647774942673,0.7103253657647665,0.5033531961673487,0.44789334648444756,0.518565318532258,0.6386330755984181,0.6935797507449122,0,0.6985561197515605,0.5814524709570248,0.46419744653204514,0.3760241173933892,0.5712958388662694,0.4972298358434229,0.6559753411037209,0.6170822921013749
Rolandic_Oper_L,0.20430872253955112,0.5385397797157351,0.6140489902650325,0.611619576304662,0.7091281693941694,0.6041907288759372,0.700329275410925,0.5030143704923815,0.5193973719444857,0.4802246378357365,0.5812418824295239,0.6985561197515605,0,0.5503802966120679,0.5490472181696805,0.5332871390737484,0.5125861554284403,0.4443851361421395,0.373289315009485,0.3783201353424822
Rolandic_Oper_R,0.4840840237014388,0.3612146430737383,0.40661827389217986,0.5082706644339833,0.4192815366736147,0.551480619700559,0.45337191585276115,0.7891522351750976,0.4403361826768879,0.5838520798958747,0.2360325602480374,0.5814524709570248,0.5503802966120679,0,0.5212504988586663,0.4481626419703615,0.10794804384468346,0.14710824184709714,0.4607735675656336,0.3520763084328739
Supp_Motor_Area_L,0.5819721043919338,0.763051113059463,0.5813490152935876,0.5851192006764906,0.6329167565215498,0.6729347103137725,0.3542262576356776,0.3055063812121997,0.3001454113150987,0.5207813144047971,0.23106374070155092,0.46419744653204514,0.5490472181696805,0.5212504988586663,0,0.7843354274419102,0.5409029592834209,0.5965941813465611,0.45942839041897554,0.3935456308336901
Supp_Motor_Area_R,0.6358703033677762,0.9196831640191182,0.4105347269544419,0.4525962118051357,0.5195394608032599,0.5101690831554054,0.3701178129733824,0.2549711944613692,0.2254304546733952,0.34626635367049496,0.15898407274292317,0.3760241173933892,0.5332871390737484,0.4481626419703615,0.7843354274419102,0,0.6189941089390906,0.5267763488466877,0.1582938694453534,0.32423160178105387
Olfactory_L,0.11215728899045553,0.6236779580530535,0.6391681636835163,0.6124571455562497,0.6709196785778216,0.6057693846286789,0.36198602645099326,-0.08021967068832915,0.3276725245307331,0.33609415316466096,0.4527587577577238,0.5712958388662694,0.5125861554284403,0.10794804384468346,0.5409029592834209,0.6189941089390906,0,0.7940717963882091,0.29912707694751123,0.42913401220046615
Olfactory_R,0.12569746057042475,0.5184046829542025,0.5982309588188366,0.5671042470931189,0.6198376271383806,0.5296753971908791,0.2440872413559569,-0.10595004907515722,0.12234356934723013,0.30250308458463004,0.37472676319014636,0.4972298358434229,0.4443851361421395,0.14710824184709714,0.5965941813465611,0.5267763488466877,0.7940717963882091,0,0.3676045332837065,0.43714663107046536
Frontal_Sup_Medial_L,0.03703833597382836,0.19715164206827007,0.7643257836357141,0.7975413437639696,0.6602071052522739,0.6665591180867194,0.500962549904625,0.4042038354483471,0.393968349929782,0.6853522042774279,0.5850000743835962,0.6559753411037209,0.373289315009485,0.4607735675656336,0.45942839041897554,0.1582938694453534,0.29912707694751123,0.3676045332837065,0,0.751338516035695
Frontal_Sup_Medial_R,0.04331021546475869,0.38416171355111667,0.774069983397822,0.8189943562245661,0.7535347733275551,0.5736724952577663,0.45767406875847516,0.31345590345822394,0.19268657996278696,0.6250550138176161,0.6210473529070766,0.6170822921013749,0.3783201353424822,0.3520763084328739,0.3935456308336901,0.32423160178105387,0.42913401220046615,0.43714663107046536,0.751338516035695,0
