,Montgomery,Juneau,Phoenix,Little Rock,Sacramento,Denver,Hartford,Dover,Honolulu,Tallahassee,Atlanta,Boise,Springfield,Indianapolis,Des Moines,Topeka,Frankfort,Baton Rouge,Augusta,Annapolis,Boston,Lansing,St. Paul,Jackson,Jefferson City,Helena,Lincoln,Carson City,Concord,Trenton,Santa Fe,Raleigh,Bismarck,Albany,Columbus,Oklahoma City,Salem,Harrisburg,Providence,Columbia,Pierre,Nashville,Austin,Salt Lake City,Montpelier,Richmond,Olympia,Charleston,Madison,Cheyenne
Montgomery,0,2850,1494,382,2013,1158,990,764,4399,179,146,1791,546,511,753,699,409,317,1213,714,1081,722,942,227,541,1674,819,1922,1097,839,1145,497,1257,986,555,677,2140,755,1046,325,1122,263,690,1527,1105,615,2167,489,758,1187
Juneau,2850,0,2004,2514,1480,1823,2847,2875,2811,3028,2841,1279,2334,2459,2103,2164,2587,2793,2829,2849,2877,2370,1956,2721,2309,1233,2036,1474,2819,2848,2030,2937,1596,2765,2563,2299,1041,2769,2890,2946,1729,2626,2594,1561,2730,2889,913,2696,2179,1750
Phoenix,1494,2004,0,1135,633,587,2212,2060,2905,1639,1590,737,1315,1497,1156,991,1554,1241,2367,2008,2296,1620,1285,1272,1166,908,987,581,2275,2100,383,1900,1098,2160,1665,842,984,1989,2277,1779,982,1444,870,507,2229,1959,1096,1731,1394,665
Little Rock,382,2514,1135,0,1633,778,1166,973,4036,553,456,1413,378,483,478,351,475,303,1363,920,1257,691,707,208,265,1312,483,1541,1254,1030,773,773,944,1135,624,299,1763,925,1229,644,790,325,443,1146,1235,850,1794,642,596,812
Sacramento,2013,1480,633,1633,0,887,2552,2446,2460,2176,2082,444,1698,1882,1482,1386,1970,1805,2663,2399,2625,1942,1519,1806,1577,733,1323,101,2590,2468,879,2346,1191,2486,2045,1336,447,2359,2615,2257,1162,1902,1465,533,2527,2375,589,2141,1697,900
Denver,1158,1823,587,778,887,0,1687,1565,3340,1331,1210,637,813,998,610,499,1083,1008,1820,1517,1765,1079,705,972,690,591,443,789,1736,1592,285,1459,533,1627,1163,503,987,1482,1751,1377,398,1020,771,371,1682,1489,1028,1255,839,97
Hartford,990,2847,2212,1166,2552,1687,0,234,5010,1014,845,2188,897,718,1077,1221,691,1290,229,278,93,610,1046,1162,1050,1957,1245,2451,115,152,1829,523,1425,82,553,1402,2498,242,65,703,1401,849,1601,2019,173,386,2463,528,855,1655
Dover,764,2875,2060,973,2446,1565,234,0,4905,780,618,2110,754,569,965,1079,509,1071,463,54,321,532,984,947,896,1899,1124,2346,348,84,1678,289,1375,258,402,1231,2435,105,284,469,1323,649,1398,1915,384,153,2413,333,770,1546
Honolulu,4399,2811,2905,4036,2460,3340,5010,4905,0,4541,4493,2834,4153,4338,3942,3834,4419,4135,5111,4856,5081,4401,3970,4176,4023,3093,3780,2561,5044,4928,3265,4787,3614,4943,4503,3739,2561,4818,5073,4679,3612,4333,3749,2992,4977,4827,2636,4593,4155,3360
Tallahassee,179,3028,1639,553,2176,1331,1014,780,4541,0,229,1965,714,653,929,878,536,411,1242,737,1101,850,1111,371,719,1853,998,2087,1126,862,1302,493,1434,1025,662,841,2315,796,1063,311,1300,421,802,1698,1149,628,2344,566,917,1363
Atlanta,146,2841,1590,456,2082,1210,845,618,4493,229,0,1832,509,427,739,726,308,458,1068,568,936,621,902,350,547,1694,833,1988,952,693,1229,355,1245,842,436,755,2180,611,900,193,1124,215,818,1581,962,470,2197,353,698,1228
Boise,1791,1279,737,1413,444,637,2188,2110,2834,1965,1832,0,1388,1564,1154,1107,1668,1642,2278,2066,2255,1586,1142,1609,1293,289,1014,359,2214,2121,773,2050,781,2117,1717,1140,350,2015,2249,1989,789,1632,1369,295,2145,2058,402,1827,1342,605
Springfield,546,2334,1315,378,1698,813,897,754,4153,714,509,1388,0,185,241,326,280,651,1063,705,982,333,397,519,159,1215,378,1599,964,787,933,662,739,848,353,522,1728,676,962,622,632,296,801,1171,927,677,1727,443,227,801
Indianapolis,511,2459,1497,483,1882,998,718,569,4338,653,427,1564,185,0,410,510,129,703,895,519,806,221,504,562,332,1378,560,1782,792,603,1115,494,880,674,168,687,1899,492,783,489,792,251,926,1353,762,495,1892,263,283,984
Des Moines,753,2103,1156,478,1482,610,1077,965,3942,929,739,1154,241,410,0,207,519,781,1215,918,1156,470,234,669,221,974,170,1382,1128,986,780,900,507,1017,566,471,1490,876,1141,862,391,524,815,951,1076,904,1487,673,239,582
Topeka,699,2164,991,351,1386,499,1221,1079,3834,878,726,1107,326,510,207,0,586,646,1378,1028,1305,634,429,559,191,975,133,1288,1284,1113,609,960,596,1169,678,265,1455,1001,1286,883,439,526,617,866,1241,993,1472,759,430,504
Frankfort,409,2587,1554,475,1970,1083,691,509,4419,536,308,1668,280,129,519,586,0,644,889,456,782,315,631,505,396,1492,655,1872,779,559,1174,382,1003,660,159,722,2007,451,755,360,908,175,914,1446,763,408,2006,177,412,1078
Baton Rouge,317,2793,1241,303,1805,1008,1290,1071,4135,411,458,1642,651,703,781,646,644,0,1507,1019,1383,924,1007,141,564,1575,779,1720,1393,1142,926,813,1241,1278,802,505,1989,1051,1349,642,1083,469,391,1359,1392,926,2036,770,877,1060
Augusta,1213,2829,2367,1363,2663,1820,229,463,5111,1242,1068,2278,1063,895,1215,1378,889,1507,0,505,149,747,1144,1376,1221,2029,1385,2561,116,380,1986,752,1500,230,740,1581,2571,458,190,931,1502,1055,1803,2134,138,614,2522,738,981,1778
Annapolis,714,2849,2008,920,2399,1517,278,54,4856,737,568,2066,705,519,918,1028,456,1019,505,0,368,495,946,895,844,1859,1076,2299,390,126,1627,250,1337,291,354,1178,2393,91,332,426,1281,596,1345,1868,417,112,2373,280,728,1499
Boston,1081,2877,2296,1257,2625,1765,93,321,5081,1101,936,2255,982,806,1156,1305,782,1383,149,368,0,687,1113,1255,1137,2017,1324,2523,63,243,1914,609,1485,139,642,1491,2559,335,41,791,1470,942,1693,2093,152,474,2520,620,930,1731
Lansing,722,2370,1620,691,1942,1079,610,532,4401,850,621,1586,333,221,470,634,315,924,747,495,687,0,452,783,491,1368,639,1840,658,535,1240,575,843,548,208,854,1906,432,674,633,798,469,1127,1409,609,520,1881,341,246,1045
St. Paul,942,1956,1285,707,1519,705,1046,984,3970,1111,902,1142,397,504,234,429,631,1007,1144,946,1113,452,0,888,443,916,339,1418,1074,986,929,988,391,975,619,694,1455,884,1107,991,358,691,1045,992,1008,959,1429,748,226,647
Jackson,227,2721,1272,208,1806,972,1162,947,4176,371,350,1609,519,562,669,559,505,141,1376,895,1255,783,888,0,448,1518,690,1717,1262,1016,931,703,1149,1146,663,474,1958,921,1222,542,997,330,468,1335,1258,807,1995,638,745,1013
Jefferson City,541,2309,1166,265,1577,690,1050,896,4023,719,547,1293,159,332,221,191,396,564,1221,844,1137,491,443,448,0,1147,286,1479,1121,935,783,769,717,1004,500,363,1639,823,1115,696,582,340,655,1057,1085,804,1651,571,343,693
Helena,1674,1233,908,1312,733,591,1957,1899,3093,1853,1694,289,1215,1378,974,975,1492,1575,2029,1859,2017,1368,916,1518,1147,0,861,645,1973,1902,816,1872,532,1882,1520,1074,542,1800,2015,1833,585,1484,1362,401,1899,1863,515,1639,1131,519
Lincoln,819,2036,987,483,1323,443,1245,1124,3780,998,833,1014,378,560,170,133,655,779,1385,1076,1324,639,339,690,286,861,0,1223,1297,1150,613,1037,462,1186,723,370,1357,1039,1309,978,308,624,730,794,1246,1054,1366,820,407,424
Carson City,1922,1474,581,1541,101,789,2451,2346,2561,2087,1988,359,1599,1782,1382,1288,1872,1720,2561,2299,2523,1840,1418,1717,1479,645,1223,0,2489,2367,795,2248,1092,2385,1945,1246,433,2258,2513,2162,1060,1806,1389,432,2425,2276,566,2041,1595,800
Concord,1097,2819,2275,1254,2590,1736,115,348,5044,1126,952,2214,964,792,1128,1284,779,1393,116,390,63,658,1074,1262,1121,1973,1297,2489,0,265,1893,637,1441,119,633,1479,2515,342,95,816,1432,943,1693,2059,90,499,2473,625,898,1699
Trenton,839,2848,2100,1030,2468,1592,152,84,4928,862,693,2121,787,603,986,1113,559,1142,380,126,243,535,986,1016,935,1902,1150,2367,265,0,1718,372,1373,176,435,1279,2440,112,207,551,1332,709,1461,1936,301,234,2414,388,779,1568
Santa Fe,1145,2030,383,773,879,285,1829,1678,3265,1302,1229,773,933,1115,780,609,1174,926,1986,1627,1914,1240,929,931,783,816,613,795,1893,1718,0,1526,814,1778,1283,474,1101,1606,1895,1413,669,1071,604,477,1848,1580,1174,1351,1018,382
Raleigh,497,2937,1900,773,2346,1459,523,289,4787,493,355,2050,662,494,900,960,382,813,752,250,609,575,988,703,769,1872,1037,2248,637,372,1526,0,1372,542,374,1058,2389,324,571,183,1286,456,1168,1825,668,139,2386,241,762,1458
Bismarck,1257,1596,1098,944,1191,533,1425,1375,3614,1434,1245,781,739,880,507,596,1003,1241,1500,1337,1485,843,391,1149,717,532,462,1092,1441,1373,814,1372,0,1350,1008,801,1074,1274,1483,1358,171,1030,1155,692,1369,1349,1040,1133,614,441
Albany,986,2765,2160,1135,2486,1627,82,258,4943,1025,842,2117,848,674,1017,1169,660,1278,230,291,139,548,975,1146,1004,1882,1186,2385,119,176,1778,542,1350,0,514,1361,2424,231,133,716,1332,826,1575,1954,126,403,2387,509,791,1592
Columbus,555,2563,1665,624,2045,1163,553,402,4503,662,436,1717,353,168,566,678,159,802,740,354,642,208,619,663,500,1520,723,1945,633,435,1283,374,1008,514,0,849,2048,324,618,426,937,333,1066,1515,610,343,2035,135,394,1145
Oklahoma City,677,2299,842,299,1336,503,1402,1231,3739,841,755,1140,522,687,471,265,722,505,1581,1178,1491,854,694,474,363,1074,370,1246,1479,1279,474,1058,801,1361,849,0,1488,1169,1467,940,631,602,361,861,1446,1121,1531,898,680,556
Salem,2140,1041,984,1763,447,987,2498,2435,2561,2315,2180,350,1728,1899,1490,1455,2007,1989,2571,2393,2559,1906,1455,1958,1639,542,1357,433,2515,2440,1101,2389,1074,2424,2048,1488,0,2337,2557,2334,1112,1978,1704,633,2441,2391,145,2162,1665,954
Harrisburg,755,2769,1989,925,2359,1482,242,105,4818,796,611,2015,676,492,876,1001,451,1051,458,91,335,432,884,921,823,1800,1039,2258,342,112,1606,324,1274,231,324,1169,2337,0,305,489,1227,607,1359,1827,353,191,2313,286,673,1458
Providence,1046,2890,2277,1229,2615,1751,65,284,5073,1063,900,2249,962,783,1141,1286,755,1349,190,332,41,674,1107,1222,1115,2015,1309,2513,95,207,1895,571,1483,133,618,1467,2557,305,0,752,1462,912,1664,2082,178,436,2519,590,918,1719
Columbia,325,2946,1779,644,2257,1377,703,469,4679,311,193,1989,622,489,862,883,360,642,931,426,791,633,991,542,696,1833,978,2162,816,551,1413,183,1358,716,426,940,2334,489,752,0,1253,358,1009,1747,840,317,2343,301,772,1387
Pierre,1122,1729,982,790,1162,398,1401,1323,3612,1300,1124,789,632,792,391,439,908,1083,1502,1281,1470,798,358,997,582,585,308,1060,1432,1332,669,1286,171,1332,937,631,1112,1227,1462,1253,0,910,984,637,1366,1280,1100,1054,554,318
Nashville,263,2626,1444,325,1902,1020,849,649,4333,421,215,1632,296,251,524,526,175,469,1055,596,942,469,691,330,340,1484,624,1806,943,709,1071,456,1030,826,333,602,1978,607,912,358,910,0,752,1390,933,525,1990,321,497,1030
Austin,690,2594,870,443,1465,771,1601,1398,3749,802,818,1369,801,926,815,617,914,391,1803,1345,1693,1127,1045,468,655,1362,730,1389,1693,1461,604,1168,1155,1575,1066,361,1704,1359,1664,1009,984,752,0,1074,1676,1265,1770,1074,997,849
Salt Lake City,1527,1561,507,1146,533,371,2019,1915,2992,1698,1581,295,1171,1353,951,866,1446,1359,2134,1868,2093,1409,992,1335,1057,401,794,432,2059,1936,477,1825,692,1954,1515,861,633,1827,2082,1747,637,1390,1074,0,1997,1847,697,1614,1164,370
Montpelier,1105,2730,2229,1235,2527,1682,173,384,4977,1149,962,2145,927,762,1076,1241,763,1392,138,417,152,609,1008,1258,1085,1899,1246,2425,90,301,1848,668,1369,126,610,1446,2441,353,178,840,1366,933,1676,1997,0,529,2396,622,842,1640
Richmond,615,2889,1959,850,2375,1489,386,153,4827,628,470,2058,677,495,904,993,408,926,614,112,474,520,959,807,804,1863,1054,2276,499,234,1580,139,1349,403,343,1121,2391,191,436,317,1280,525,1265,1847,529,0,2379,234,736,1478
Olympia,2167,913,1096,1794,589,1028,2463,2413,2636,2344,2197,402,1727,1892,1487,1472,2006,2036,2522,2373,2520,1881,1429,1995,1651,515,1366,566,2473,2414,1174,2386,1040,2387,2035,1531,145,2313,2519,2343,1100,1990,1770,697,2396,2379,0,2154,1646,983
Charleston,489,2696,1731,642,2141,1255,528,333,4593,566,353,1827,443,263,673,759,177,770,738,280,620,341,748,638,571,1639,820,2041,625,388,1351,241,1133,509,135,898,2162,286,590,301,1054,321,1074,1614,622,234,2154,0,522,1244
Madison,758,2179,1394,596,1697,839,855,770,4155,917,698,1342,227,283,239,430,412,877,981,728,930,246,226,745,343,1131,407,1595,898,779,1018,762,614,791,394,680,1665,673,918,772,554,497,997,1164,842,736,1646,522,0,801
Cheyenne,1187,1750,665,812,900,97,1655,1546,3360,1363,1228,605,801,984,582,504,1078,1060,1778,1499,1731,1045,647,1013,693,519,424,800,1699,1568,382,1458,441,1592,1145,556,954,1458,1719,1387,318,1030,849,370,1640,1478,983,1244,801,0